skill_id,skill_name,domain,cmmi_level,interest_reason,last_practice_date,decay_rate,evidence_sources
sql_analytics,SQL & Data Modelling,Analytics Engineering,4,"The precision of querying and the elegance of dimensional modeling - how we structure data shapes how we think about problems",2024-02-01,0.15,"github,review,project"
python_data,Python Data Engineering,Analytics Engineering,3,"Automation and reproducibility - building systems that run themselves while maintaining transparency",2024-01-15,0.2,"github,project"
power_bi,Power BI & DAX,Analytics Engineering,4,"Translating complex business logic into defensible metrics - the gap between what people ask for and what they actually need",2024-02-05,0.15,"github,review,project,testimonial"
internal_audit,Risk-Based Internal Audit,GRC,4,"Understanding systems by finding their weak points - protection through structured skepticism",2023-12-20,0.1,"review,project"
grc_frameworks,GRC Frameworks,GRC,3,"Creating guardrails that enable rather than constrain - governance as a service not a blocker",2024-01-10,0.12,"review,project"
enterprise_arch,Enterprise Architecture,Architecture,3,"Seeing how changes ripple across business data application and infrastructure - coherent change at scale",2023-11-30,0.15,"project,testimonial"
time_series,Time Series Analysis,Analytics,3,"Separating signal from noise - what changed and why should we care",2024-01-20,0.2,"github,project"
nlp_synthesis,NLP & Text Synthesis,Analytics,2,"Making sense of unstructured human communication at scale - what are people actually saying",2023-10-15,0.25,"github"
optimisation,Optimisation Under Constraints,Analytics,2,"Finding the best possible outcome within real-world limits - trade-offs made explicit",2023-09-20,0.3,"github"
stakeholder_mgmt,Stakeholder Management,Consulting,4,"Translating between technical and executive contexts - making complexity accessible without oversimplifying",2024-01-25,0.1,"review,testimonial"
dbt_workflows,dbt & Analytics Workflows,Analytics Engineering,2,"Transformation as code - making analytics reproducible and testable",2024-01-05,0.25,"github"
docker_containers,Docker & Containerization,Infrastructure,2,"Isolation and portability - how boundaries enable both security and flexibility",2024-01-10,0.25,"github"
risk_modeling,Risk Scenario Modeling,GRC,3,"Making uncertainty tangible through scenarios - what could go wrong and how bad could it get",2023-12-15,0.15,"project,review"
control_testing,Control Design & Testing,GRC,4,"Verifying that protections work as intended - trust through evidence not assertion",2024-01-05,0.12,"project,review"
exec_synthesis,Executive Synthesis,Consulting,4,"Distilling technical complexity into decision-ready insights - what matters and why",2024-01-28,0.08,"review,testimonial"
people_development,People Development,Leadership,3,"Growing capability in others on project teams - coaching through doing",2023-11-20,0.15,"review,testimonial"
azure_agents,Azure AI Agents,Development,1,"Exploring intelligent automation - where should machines assist and where should humans decide",2024-01-22,0.35,"github"
sustainable_dev,Sustainable Development Methods,Sustainability,2,"Long-term thinking about systems impact - who benefits who pays what persists",2024-02-01,0.2,"project"
